|date      |depot_code|depot_location      |transporter               |total_distance|percentage_empty|emptiness_var_cost|total_amount_wasted_per_transporter|transporter_type|contract_ref    |monthly_transporter_cost|
|2024-09-07|EA33      |Alrode              |Unitrans Supply Chain Sols|4,607         |9.57            |56.27232          |6,134.96                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-27|EB08      |Ladysmith           |Tanker Services Fuel      |383           |28.46           |14.277208         |775.71                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-05|EA35      |Bethlehem           |Unitrans Supply Chain Sols|635           |5.03            |1.740096          |932.69                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-16|EA33      |Alrode              |Unitrans Supply Chain Sols|2,639         |13.54           |60.835968         |5,836.52                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-23|EA33      |Alrode              |Unitrans Supply Chain Sols|3,030         |14.09           |58.44096          |5,756.13                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-16|EB06      |Island View Terminal|Tanker Services Fuel      |419           |16.91           |11.312752         |1,261.72                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-11|EB21      |Waltloo             |Makwande                  |1,469         |8.45            |8.477628          |1,553.44                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-18|EA33      |Alrode              |Unitrans Supply Chain Sols|206           |0.43            |0.148608          |15.3                               |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-12|EB21      |Waltloo             |Makwande                  |1,108         |20.11           |20.180939         |2,948.22                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-06|EA35      |Bethlehem           |Unitrans Supply Chain Sols|909           |8.18            |2.828736          |1,399.03                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-04|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|504           |22.21           |19.18944          |2,476.78                           |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-04|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|416           |0.49            |0.171072          |53.89                              |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-17|EA35      |Bethlehem           |Unitrans Supply Chain Sols|518           |5.88            |2.033856          |608.67                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-29|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|180           |15.31           |5.292864          |481.76                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-05|EB16      |Natref              |Maphalakarabo             |508           |14.49           |2.886408          |733.14                             |Primary         |MPK-VEN-DIR-1   |463,324                 |
|2024-09-24|EB06      |Island View Terminal|Tanker Services Fuel      |545           |17.54           |11.730752         |1,627.83                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-15|EA35      |Bethlehem           |Unitrans Supply Chain Sols|77            |1.5             |0.2592            |19.96                              |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-15|EB21      |Waltloo             |Makwande                  |2,614         |16.93           |36.3982           |4,029.32                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
